date,country,confirmed_cases,active_cases,total_deaths,total_recoveries,new_cases,new_deaths,vaccination_rate
2021-01-01,USA,61367,16714,805,43848,61367,805,0.1799264218662403
2021-01-02,USA,131019,23747,2338,104934,69652,1533,0.23301409601061068
2021-01-03,USA,197300,37685,3243,156372,66281,905,0.3617275607554464
2021-01-04,USA,264985,51802,4504,208679,67685,1261,0.5035054949638034
2021-01-05,USA,334274,63489,5704,265081,69289,1200,0.6712818891727554
2021-01-06,USA,403103,74327,6667,322109,68829,963,0.8101440745020618
2021-01-07,USA,477360,94402,7662,375296,74257,995,1.0024769050900617
2021-01-08,USA,549523,99352,9777,440394,72163,2115,1.0981689704660673
2021-01-09,USA,626804,118726,11230,496848,77281,1453,1.2224455069827578
2021-01-10,USA,700524,123297,12017,565210,73720,787,1.3112625042227604
2021-01-11,USA,772156,133536,13478,625142,71632,1461,1.3889906725515895
2021-01-12,USA,856617,140026,15960,700631,84461,2482,1.5799155137862178
2021-01-13,USA,937742,160263,18266,759213,81125,2306,1.6593129431490896
2021-01-14,USA,1023194,178018,19197,825979,85452,931,1.767614536602512
2021-01-15,USA,1109100,196285,20669,892146,85906,1472,1.8990189490762492
2021-01-16,USA,1189423,203245,21698,964480,80323,1029,1.960201545628215
2021-01-17,USA,1276301,210422,23833,1042046,86878,2135,2.0213082433883285
2021-01-18,USA,1365640,233103,25366,1107171,89339,1533,2.2007737572696673
2021-01-19,USA,1443911,249618,26248,1168045,78271,882,2.2995512555736792
2021-01-20,USA,1536108,260315,28515,1247278,92197,2267,2.4826331669601283
2021-01-21,USA,1618479,267362,30513,1320604,82371,1998,2.6168247465955528
2021-01-22,USA,1706496,280665,32750,1393081,88017,2237,2.745234671002852
2021-01-23,USA,1793708,305084,33810,1454814,87212,1060,2.890696232692419
2021-01-24,USA,1883391,319127,35270,1528994,89683,1460,3.0768312037813326
2021-01-25,USA,1971459,338299,37481,1595679,88068,2211,3.1383781902556516
2021-01-26,USA,2055447,358785,38807,1657855,83988,1326,3.3278328381070374
2021-01-27,USA,2150111,365569,41403,1743139,94664,2596,3.405818346939943
2021-01-28,USA,2248720,379110,44149,1825461,98609,2746,3.5769343702145524
2021-01-29,USA,2340622,400323,45270,1895029,91902,1121,3.691000538508491
2021-01-30,USA,2438033,406019,47837,1984177,97411,2567,3.7420433580881696
