customer_id,age,income,spending_score,website_version,purchase,loan_default,churn
1,56,109614,48,B,0,0,0
2,46,108116,45,A,0,0,0
3,32,76235,93,B,0,1,0
4,60,34855,58,A,0,0,0
5,25,56169,36,A,0,0,0
6,38,66404,2,A,0,0,0
7,56,39569,18,B,0,0,0
8,36,74437,49,B,0,0,0
9,40,68506,8,A,0,0,0
10,28,45738,58,A,0,0,0
11,28,26772,15,A,0,0,0
12,41,110410,17,A,0,0,0
13,53,39731,23,B,0,0,0
14,57,30131,66,B,0,0,0
15,41,86324,70,B,0,1,1
16,20,74097,93,B,0,1,0
17,39,101720,27,B,0,0,0
18,19,116433,37,A,1,0,1
19,41,22889,49,B,0,1,0
20,61,29569,64,A,0,0,0
21,47,107193,34,A,0,0,0
22,55,95677,18,B,0,0,0
23,19,105192,64,B,0,0,0
24,38,107154,74,A,0,0,0
25,50,97470,44,A,0,0,0
26,29,108822,17,A,0,0,0
27,39,27612,59,B,0,1,0
28,61,71644,13,B,0,0,0
29,42,52069,52,B,0,0,0
30,44,101741,60,B,0,0,0
31,59,47331,42,A,0,0,0
32,45,75897,91,B,0,0,0
33,33,33934,64,A,0,0,0
34,32,30095,66,B,0,0,0
35,64,111494,34,B,0,0,1
36,61,38706,95,B,0,0,0
37,20,63516,87,A,0,0,1
38,54,117008,71,A,0,0,1
39,24,54629,64,B,0,0,0
40,38,66910,33,A,0,0,1
41,26,108540,12,A,0,0,0
42,56,40431,76,B,0,0,1
43,35,76733,19,B,0,0,0
44,21,60088,9,A,0,0,0
45,42,64135,74,B,0,0,1
46,31,58015,17,A,0,0,0
47,26,51385,50,A,0,0,1
48,43,90199,39,B,0,0,0
49,19,58677,41,A,0,0,0
50,37,32818,10,B,0,1,0
51,45,108222,12,A,0,1,1
52,64,83001,79,A,0,0,0
53,24,43977,95,A,0,0,0
54,61,69832,15,A,0,0,0
55,25,60931,28,A,0,0,1
56,64,103990,4,A,0,0,0
57,52,98894,36,B,1,0,0
58,31,92204,65,A,0,0,0
59,34,65784,98,A,1,0,0
60,53,29921,47,A,0,0,1
61,57,54959,81,B,0,0,0
62,21,52328,39,A,0,0,0
63,19,28859,38,A,0,0,0
64,23,109506,44,A,0,0,0
65,59,94408,51,B,0,0,0
66,21,104766,97,B,1,0,1
67,46,46708,85,B,0,0,0
68,35,38847,26,A,0,0,0
69,43,75989,36,A,0,0,0
70,61,112641,69,A,0,0,0
71,51,24922,97,B,0,1,0
72,27,89928,1,A,0,0,1
73,53,72335,53,B,0,0,0
74,31,33541,6,B,0,0,0
75,48,39551,37,A,0,0,0
76,32,39381,2,A,0,1,0
77,25,75673,69,B,0,0,1
78,31,42948,90,A,1,0,0
79,40,112264,41,B,0,0,0
80,57,79072,51,B,0,0,0
81,38,87560,47,A,0,0,0
82,33,102249,13,A,0,1,0
83,62,22486,76,A,0,0,1
84,35,86691,69,A,0,0,0
85,64,30082,66,A,0,0,0
86,41,104105,59,A,0,0,0
87,43,27086,68,A,0,0,1
88,42,87853,59,B,0,0,1
89,62,90027,91,A,0,0,1
90,58,35916,10,A,0,1,0
91,46,35248,13,A,0,0,0
92,32,88047,2,A,0,0,0
93,62,44226,90,B,0,1,0
94,18,45025,15,A,0,1,0
95,42,68380,46,B,0,0,0
96,24,27848,57,B,1,0,0
97,26,34274,10,B,0,0,0
98,41,74545,22,B,0,0,0
99,18,116494,89,B,0,0,0
100,61,55233,79,A,0,0,0
101,25,36304,77,B,0,0,0
102,41,31294,8,B,0,0,0
